,Token,Score,Syllable_Count,Word_length,IsComplex
0,talk,0,1,4,0
1,AI,0,2,2,0
2,different,0,3,9,1
3,people,0,3,6,1
4,different,0,3,9,1
5,perspectives,0,0,12,0
6,group,0,2,5,0
7,people,0,3,6,1
8,good,0,2,4,0
9,knowledge,0,3,9,1
10,real,0,2,4,0
11,potential,0,4,9,1
12,AI,0,2,2,0
13,believe,0,4,7,1
14,AI,0,2,2,0
15,novel,0,2,5,0
16,solution,0,4,8,1
17,problems,-1,2,8,0
18,world,0,1,5,0
19,facing,0,2,6,0
20,today,0,2,5,0
21,another,0,3,7,1
22,group,0,2,5,0
23,people,0,3,6,1
24,merely,0,2,6,0
25,threatened,0,0,10,0
26,thought,0,2,7,0
27,AI,0,2,2,0
28,taking,0,2,6,0
29,world,0,1,5,0
30,field,0,2,5,0
31,AI,0,2,2,0
32,took,0,2,4,0
33,birth,0,1,5,0
34,Alan,0,2,4,0
35,Turing,0,2,6,0
36,1950,0,0,4,0
37,thought,0,2,7,0
38,machines,0,0,8,0
39,think,0,1,5,0
40,Later,0,2,5,0
41,1980s,0,0,5,0
42,adoption,0,4,8,1
43,expert,0,2,6,0
44,systems,0,1,7,0
45,companies,0,0,9,0
46,around,0,3,6,1
47,world,0,1,5,0
48,booming,1,3,7,1
49,field,0,2,5,0
50,AI,0,2,2,0
51,initiated,0,0,9,0
52,Initially,0,4,9,1
53,matter,0,2,6,0
54,awe,1,2,3,0
55,everyone,0,4,8,1
56,results,0,2,7,0
57,AI,0,2,2,0
58,achieve,0,4,7,1
59,AI,0,2,2,0
60,growth,0,1,6,0
61,past,0,1,4,0
62,decades,0,0,7,0
63,exponential,0,5,11,1
64,transformed,0,0,11,0
65,live,0,2,4,0
66,work,1,1,4,0
67,solve,0,2,5,0
68,challenges,0,0,10,0
69,AI,0,2,2,0
70,made,0,2,4,0
71,impact,0,2,6,0
72,wide,0,2,4,0
73,variety,1,3,7,1
74,areas,0,3,5,1
75,including,0,3,9,1
76,healthcare,0,4,10,1
77,education,0,5,9,1
78,business,0,3,8,1
79,areas,0,3,5,1
80,highest,0,2,7,0
81,impact,0,2,6,0
82,AI,0,2,2,0
83,made,0,2,4,0
84,recently,0,2,8,0
85,environment,0,4,11,1
86,climate,0,3,7,1
87,change,0,2,6,0
88,AI,0,2,2,0
89,Revolutionizing,0,7,15,1
90,deal,0,2,4,0
91,Environment,0,4,11,1
92,Climate,0,3,7,1
93,Change,0,2,6,0
94,AI,0,2,2,0
95,strengthen,0,2,10,0
96,climate,0,3,7,1
97,predictions,0,4,11,1
98,enable,0,3,6,1
99,smarter,1,2,7,0
100,decision,0,4,8,1
101,making,0,2,6,0
102,decarbonising,0,5,13,1
103,industries,0,0,10,0
104,building,0,3,8,1
105,transport,0,2,9,0
106,work,1,1,4,0
107,allocate,0,4,8,1
108,renewable,0,4,9,1
109,energy,0,2,6,0
110,recent,0,2,6,0
111,years,0,2,5,0
112,AI,0,2,2,0
113,game,0,2,4,0
114,changer,0,2,7,0
115,people,0,3,6,1
116,well,0,1,4,0
117,organizations,0,6,13,1
