,Token,Score,Syllable_Count,Word_length,IsComplex
0,Understanding,0,4,13,1
1,exactly,0,2,7,0
2,data,0,2,4,0
3,ingested,0,0,8,0
4,analyzed,0,0,8,0
5,returned,0,0,8,0
6,end,0,1,3,0
7,user,0,2,4,0
8,big,0,1,3,0
9,impact,0,2,6,0
10,expectations,0,5,12,1
11,accuracy,0,3,8,1
12,reliability,0,5,11,1
13,mention,0,3,7,1
14,influencing,0,4,11,1
15,investments,0,3,11,1
16,necessary,0,3,9,1
17,whip,0,1,4,0
18,organization,0,6,12,1
19,data,0,2,4,0
20,assets,0,2,6,0
21,shape,0,2,5,0
22,efficiently,1,4,11,1
23,effectively,1,4,11,1
24,choose,0,3,6,1
25,vendor,0,2,6,0
26,products,0,2,8,0
27,hire,0,2,4,0
28,right,0,1,5,0
29,data,0,2,4,0
30,science,0,3,7,1
31,staff,0,1,5,0
32,develop,0,3,7,1
33,algorithms,0,3,10,1
34,house,0,3,5,1
35,healthcare,0,4,10,1
36,organizations,0,6,13,1
37,feel,0,2,4,0
38,confident,1,3,9,1
39,firm,0,1,4,0
40,grasp,0,1,5,0
41,different,0,3,9,1
42,flavors,0,2,7,0
43,artificial,0,5,10,1
44,intelligence,1,5,12,1
45,apply,0,1,5,0
46,specific,0,3,8,1
47,use,0,2,3,0
48,cases,0,0,5,0
49,Deep,0,2,4,0
50,learning,0,3,8,1
51,good,0,2,4,0
52,place,0,2,5,0
53,start,0,1,5,0
54,branch,0,1,6,0
55,artificial,0,5,10,1
56,intelligence,1,5,12,1
57,quickly,0,2,7,0
58,become,0,3,6,1
59,transformative,0,5,14,1
60,healthcare,0,4,10,1
61,offering,0,3,8,1
62,ability,0,3,7,1
63,analyze,0,3,7,1
64,data,0,2,4,0
65,speed,0,0,5,0
66,precision,0,4,9,1
67,never,0,2,5,0
68,seen,0,2,4,0
69,Deep,0,2,4,0
70,learning,0,3,8,1
71,also,0,2,4,0
72,known,0,1,5,0
73,hierarchical,0,5,12,1
74,learning,0,3,8,1
75,deep,0,2,4,0
76,structured,0,0,10,0
77,learning,0,3,8,1
78,type,0,1,4,0
79,machine,0,3,7,1
80,learning,0,3,8,1
81,uses,0,0,4,0
82,layered,0,0,7,0
83,algorithmic,0,4,11,1
84,architecture,0,5,12,1
85,analyze,0,3,7,1
86,data,0,2,4,0
87,deep,0,2,4,0
88,learning,0,3,8,1
89,models,0,2,6,0
90,data,0,2,4,0
91,filtered,0,0,8,0
92,cascade,0,3,7,1
93,multiple,0,3,8,1
94,layers,0,2,6,0
95,successive,0,4,10,1
96,layer,0,2,5,0
97,using,0,2,5,0
98,output,0,3,6,1
99,previous,0,4,8,1
100,inform,0,2,6,0
101,results,0,2,7,0
102,Deep,0,2,4,0
103,learning,0,3,8,1
104,models,0,2,6,0
105,become,0,3,6,1
106,accurate,1,4,8,1
107,process,0,2,7,0
108,data,0,2,4,0
109,essentially,0,4,11,1
110,learning,0,3,8,1
111,previous,0,4,8,1
112,results,0,2,7,0
113,refine,1,3,6,1
114,ability,0,3,7,1
115,make,0,2,4,0
116,correlations,0,5,12,1
117,connections,0,4,11,1
118,Deep,0,2,4,0
119,learning,0,3,8,1
120,loosely,0,3,7,1
121,based,0,0,5,0
122,biological,0,5,10,1
123,neurons,0,3,7,1
124,connect,0,2,7,0
125,process,0,2,7,0
126,information,0,5,11,1
127,brains,0,2,6,0
128,animals,0,3,7,1
129,Similar,0,3,7,1
130,electrical,0,4,10,1
131,signals,0,2,7,0
132,travel,0,2,6,0
133,across,0,2,6,0
134,cells,0,1,5,0
135,living,0,2,6,0
136,creates,0,0,7,0
137,subsequent,0,4,10,1
138,layer,0,2,5,0
139,nodes,0,0,5,0
140,activated,0,0,9,0
141,receives,0,0,8,0
142,stimuli,0,3,7,1
143,neighboring,0,4,11,1
144,neurons,0,3,7,1
145,artificial,0,5,10,1
146,neural,0,3,6,1
147,networks,0,2,8,0
148,ANNs,0,1,4,0
149,basis,0,2,5,0
150,deep,0,2,4,0
151,learning,0,3,8,1
152,models,0,2,6,0
153,layer,0,2,5,0
154,assigned,0,0,8,0
155,specific,0,3,8,1
156,portion,0,3,7,1
157,transformation,0,5,14,1
158,task,0,1,4,0
159,data,0,2,4,0
160,might,0,1,5,0
161,traverse,0,3,8,1
162,layers,0,2,6,0
163,multiple,0,3,8,1
164,times,0,0,5,0
165,refine,1,3,6,1
166,optimize,0,4,8,1
167,ultimate,0,4,8,1
168,output,0,3,6,1
169,hidden,0,2,6,0
170,layers,0,2,6,0
171,serve,0,2,5,0
172,perform,0,2,7,0
173,mathematical,0,5,12,1
174,translation,0,4,11,1
175,tasks,0,1,5,0
