,Token,Score,Syllable_Count,Word_length,IsComplex
0,Artificial,0,5,10,1
1,intelligence,1,5,12,1
2,AI,0,2,2,0
3,intelligence,1,5,12,1
4,demonstrated,0,0,12,0
5,machines,0,0,8,0
6,opposed,0,0,7,0
7,natural,0,3,7,1
8,intelligence,1,5,12,1
9,displayed,0,0,9,0
10,humans,0,2,6,0
11,animals,0,3,7,1
12,Leading,1,3,7,1
13,AI,0,2,2,0
14,textbooks,0,3,9,1
15,define,0,3,6,1
16,field,0,2,5,0
17,study,0,1,5,0
18,intelligent,1,4,11,1
19,agents,0,2,6,0
20,system,0,1,6,0
21,perceives,0,0,9,0
22,environment,0,4,11,1
23,takes,0,0,5,0
24,actions,0,3,7,1
25,maximize,0,4,8,1
26,chance,0,2,6,0
27,achieving,0,4,9,1
28,goals,0,2,5,0
29,AI,0,2,2,0
30,applications,0,5,12,1
31,include,0,3,7,1
32,advanced,1,0,8,0
33,web,0,1,3,0
34,search,0,2,6,0
35,engines,0,0,7,0
36,recommendation,1,6,14,1
37,systems,0,1,7,0
38,used,0,0,4,0
39,YouTube,0,4,7,1
40,Amazon,0,3,6,1
41,Netflix,0,2,7,0
42,understanding,0,4,13,1
43,human,0,2,5,0
44,speech,0,2,6,0
45,Siri,0,2,4,0
46,Alexa,0,3,5,1
47,self,0,1,4,0
48,driving,0,2,7,0
49,cars,0,1,4,0
50,e,0,1,1,0
51,g,0,0,1,0
52,Tesla,0,2,5,0
53,competing,0,3,9,1
54,highest,0,2,7,0
55,level,0,2,5,0
56,strategic,0,3,9,1
57,game,0,2,4,0
58,systems,0,1,7,0
59,chess,0,1,5,0
60,Go,0,1,2,0
61,machines,0,0,8,0
62,become,0,3,6,1
63,increasingly,0,4,12,1
64,capable,1,3,7,1
65,tasks,0,1,5,0
66,considered,0,0,10,0
67,require,0,4,7,1
68,intelligence,1,5,12,1
69,often,0,2,5,0
70,removed,0,0,7,0
71,definition,0,5,10,1
72,AI,0,2,2,0
73,phenomenon,0,4,10,1
74,known,0,1,5,0
75,AI,0,2,2,0
76,effect,0,2,6,0
77,said,0,2,4,0
78,everything,0,3,10,1
79,comes,0,0,5,0
80,price,0,2,5,0
81,case,0,2,4,0
82,AI,0,2,2,0
83,advantages,1,0,10,0
84,time,0,2,4,0
85,disadvantages,-1,0,13,0
86,prominent,1,3,9,1
87,ones,0,0,4,0
88,USE,0,2,3,0
89,AI,0,2,2,0
90,WARS,0,1,4,0
91,Artificial,0,5,10,1
92,intelligence,1,5,12,1
93,consumer,0,3,8,1
94,business,0,3,8,1
95,centric,0,2,7,0
96,technology,0,3,10,1
97,Yes,0,0,3,0
98,companies,0,0,9,0
99,use,0,2,3,0
100,AI,0,2,2,0
101,automate,0,5,8,1
102,various,0,4,7,1
103,tasks,0,1,5,0
104,consumers,0,3,9,1
105,use,0,2,3,0
106,AI,0,2,2,0
107,make,0,2,4,0
108,daily,0,2,5,0
109,routines,0,0,8,0
110,easier,1,4,6,1
111,governments,0,3,11,1
112,particular,0,4,10,1
113,militaries,0,0,10,0
114,also,0,2,4,0
115,massive,0,3,7,1
116,interest,0,3,8,1
117,speed,0,0,5,0
118,scale,0,2,5,0
119,offered,0,0,7,0
120,AI,0,2,2,0
121,Nation,0,3,6,1
122,states,0,0,6,0
123,already,0,3,7,1
124,using,0,2,5,0
125,artificial,0,5,10,1
126,intelligence,1,5,12,1
127,monitor,0,3,7,1
128,boundaries,0,0,10,0
129,defenses,0,0,8,0
130,Militaries,0,0,10,0
131,research,0,3,8,1
132,development,0,4,11,1
133,artificial,0,5,10,1
134,intelligence,1,5,12,1
135,AI,0,2,2,0
136,looking,0,3,7,1
137,implement,0,3,9,1
138,AI,0,2,2,0
139,systems,0,1,7,0
140,early,0,2,5,0
141,August,0,3,6,1
142,year,0,2,4,0
143,U,0,1,1,0
144,Defense,0,3,7,1
145,Advanced,1,0,8,0
146,Research,0,3,8,1
147,Projects,0,2,8,0
148,Agency,0,2,6,0
149,announced,0,0,9,0
150,later,0,2,5,0
151,month,0,1,5,0
152,human,0,2,5,0
153,fighter,0,2,7,0
154,pilot,0,2,5,0
155,would,0,2,5,0
156,face,0,2,4,0
157,AI,0,2,2,0
158,algorithm,0,3,9,1
159,virtual,0,3,7,1
160,combat,0,2,6,0
161,leading,1,3,7,1
162,military,0,3,8,1
163,powers,0,2,6,0
164,already,0,3,7,1
165,made,0,2,4,0
166,clear,1,2,5,0
167,want,0,1,4,0
168,profit,0,2,6,0
169,opportunities,0,0,13,0
170,offered,0,0,7,0
171,promising,1,3,9,1
172,technology,0,3,10,1
173,Many,0,1,4,0
174,nations,0,3,7,1
175,like,0,2,4,0
176,U,0,1,1,0
177,U,0,1,1,0
178,K,0,0,1,0
179,China,0,2,5,0
180,already,0,3,7,1
181,started,0,0,7,0
182,investing,0,3,9,1
183,AI,0,2,2,0
184,military,0,3,8,1
185,nations,0,3,7,1
186,keep,0,2,4,0
187,investing,0,3,9,1
188,military,0,3,8,1
189,funds,0,1,5,0
190,AI,0,2,2,0
191,military,0,3,8,1
192,development,0,4,11,1
193,consequences,0,0,12,0
